"x","f_true","mu","lo","up"
0.666666666666667,0.841130895119085,0.830669974397983,0.734545041638044,0.914450195902771
0.676767676767677,0.854168516465085,0.848444780082755,0.753181217243907,0.932025707854387
0.686868686868687,0.866306264106147,0.865843124733006,0.776129201710097,0.951646953268496
0.696969696969697,0.877578561013787,0.882594864288276,0.792101465275883,0.965061014438789
0.707070707070707,0.888023290380253,0.898431408643749,0.811307293948311,0.981262070050193
0.717171717171717,0.89768079649193,0.913109597997116,0.825287243575616,0.994937833520002
0.727272727272727,0.906592995283168,0.92643421441583,0.844765744420031,1.01055448157518
0.737373737373737,0.914802598938412,0.938275494630155,0.855207741371093,1.02186951186643
0.747474747474748,0.922352453916575,0.948579006641824,0.871187859794398,1.03623830304837
0.757575757575758,0.929284987972856,0.957366774015895,0.882047579713452,1.04434814042949
